id,name,code
fe9bb3ee-eead-4a8b-8048-051d046adb5d,Inverclyde,S14000038
f7ad420a-192a-4c1d-8914-45a93bcaa7b9,Gordon,S14000037
b4d197de-5609-4597-a80d-201faafd90be,"Inverness, Nairn, Badenoch and Strathspey",S14000039
8586fee1-d526-4ecc-9f13-39278089e9cf,Stockton South,E14000971
8726083e-bec9-4ea9-9c32-4ca2947a073e,North Somerset,E14000850
07b7e053-07cc-420f-ad38-cbdeeb8b8a55,Stockton North,E14000970
a5338ac8-80a3-475d-b9fb-5a812cbe395f,Stone,E14000975
3de0d0df-387c-4a04-879b-bfd1f9b6436b,North Warwickshire,E14000854
a53de1c6-b313-4754-b775-5a11fad37f80,Hartlepool,E14000733
f9cb1da9-3c1d-4b91-89a5-12f36bcd2fad,Bury South,E14000612
4dd7dc72-9ce9-4bbf-b1b8-844be987e0f9,Stoke-on-Trent South,E14000974
43420d35-0c1b-4ddd-b360-b7af9fcc8021,North Tyneside,E14000853
ec0f49f2-a19b-46e4-8a24-fab8d3316757,Harrow West,E14000732
65571295-50b2-4b18-af94-295f5d239db5,Bury North,E14000611
4a7f4c05-d61a-4373-9a8e-229382278ad1,Stoke-on-Trent North,E14000973
41801327-ed87-4f11-a9bd-f7f24e8fe82e,North Thanet,E14000852
e538ca98-9fc6-4382-96e5-cf8b7004d432,Harrow East,E14000731
c94143e3-9d02-4805-990d-b2792775fc8c,Burton,E14000610
2abff8b7-a7d2-424d-9e0b-4c383a9a9b28,Stoke-on-Trent Central,E14000972
0590f796-c543-4d61-b679-6bda7a226f6d,North Swindon,E14000851
fcf194b2-d4a0-4968-9e0d-35fc67561dcc,Harrogate and Knaresborough,E14000730
4ce9444c-9072-4b08-b5c5-0b323fbe92cd,Stevenage,E14000968
4920f0c4-e332-4862-8f14-0e9697a4ef51,North Herefordshire,E14000847
d38cfa6e-7cff-4ca4-91bb-b758280f47fc,Hammersmith,E14000726
8af459bf-92f5-4afd-a9be-995202cb8e93,Bromsgrove,E14000605
f1270e91-a5d5-45e2-a190-fe4141b7a4e4,Stalybridge and Hyde,E14000967
6195971a-9f51-46e3-a53a-a0307ec7a246,North East Somerset,E14000846
bd4f1324-e640-4905-a529-32711d2f074e,Halton,E14000725
4e8dac2b-5b2f-43ee-a032-08add216160a,Bromley and Chislehurst,E14000604
dcbc759b-b538-4b1e-a86a-d3f54dc68098,Staffordshire Moorlands,E14000966
16672a99-8701-472f-bfd9-0172cd15e243,North East Hertfordshire,E14000845
9441555e-ef81-4e33-82d8-e8b44d606d42,Haltemprice and Howden,E14000724
2e56bf13-aa3a-4a60-b48c-7415e0c47283,Broadland,E14000603
3243fe8d-92a6-4b76-855e-e3fbe4937ab4,Stafford,E14000965
27b53eeb-5547-4ca2-84ee-c33cb357cfe8,North East Hampshire,E14000844
419f1636-9aec-411e-9b6e-d52cbef7a5bd,Halifax,E14000723
892b44c4-1c4b-4ca8-9c05-e3eda8706753,Bristol West,E14000602
7abad093-6706-4df9-8cb7-dc7e4e31cd86,Burnley,E14000609
9c230ce4-4ee1-4f4c-8cc1-f235be64b165,Harlow,E14000729
61d09dee-7850-499e-983e-a86ffeb7fb8c,Buckingham,E14000608
9ede8e78-3750-4830-ab77-eebc3a436229,North Shropshire,E14000849
c84a47b8-aea7-4755-9b2e-d95bfca66897,Harborough,E14000728
e7a207a4-c020-4308-827f-892997b4e05b,Broxtowe,E14000607
472ca9d1-9126-4b8d-b52b-bd935b13f3b2,Stockport,E14000969
799cc514-5d4e-4781-8732-666c07bde7bf,North Norfolk,E14000848
45bcf3fc-1213-47ab-a8f2-e0bf2bffd77e,Hampstead and Kilburn,E14000727
c0b2373e-5f05-4a6f-bd13-1b00898df7e3,Broxbourne,E14000606
64af332e-ef6c-47b6-9dcc-d6b79baa5e1d,St Albans,E14000960
75176e60-6eb1-400b-91a8-0eeb67aa5825,St Ives,E14000964
0357b32c-919e-4da2-a510-75f532361ce0,North East Derbyshire,E14000843
faa0eb2a-c696-4036-9ca3-fc2ae3396d9a,Halesowen and Rowley Regis,E14000722
3d53d449-2097-428c-8b99-42604ac7c6e3,Bristol South,E14000601
